,x
0,0
1,0.00725624
2,0.01451247
3,0.02176871
4,0.02902494
5,0.03628118
6,0.04353741
7,0.05079365
8,0.05804989
9,0.06530612
10,0.07256236
11,0.07981859
12,0.08707483
13,0.09433107
14,0.1015873
15,0.10884354
16,0.11609977
17,0.12335601
18,0.13061224
19,0.13786848
20,0.14512472
21,0.15238095
22,0.15963719
23,0.16689342
24,0.17414966
25,0.1814059
26,0.18866213
27,0.19591837
28,0.2031746
29,0.21043084
30,0.21768707
31,0.22494331
32,0.23219955
33,0.23945578
34,0.24671202
35,0.25396825
36,0.26122449
37,0.26848073
38,0.27573696
39,0.2829932
40,0.29024943
41,0.29750567
42,0.3047619
43,0.31201814
44,0.31927438
45,0.32653061
46,0.33378685
47,0.34104308
48,0.34829932
49,0.35555556
50,0.36281179
51,0.37006803
52,0.37732426
53,0.3845805
54,0.39183673
55,0.39909297
56,0.40634921
57,0.41360544
58,0.42086168
59,0.42811791
60,0.43537415
61,0.44263039
62,0.44988662
63,0.45714286
64,0.46439909
65,0.47165533
66,0.47891156
67,0.4861678
68,0.49342404
69,0.50068027
70,0.50793651
71,0.51519274
72,0.52244898
73,0.52970522
74,0.53696145
75,0.54421769
76,0.55147392
77,0.55873016
78,0.56598639
79,0.57324263
80,0.58049887
81,0.5877551
82,0.59501134
83,0.60226757
84,0.60952381
85,0.61678005
86,0.62403628
87,0.63129252
88,0.63854875
89,0.64580499
90,0.65306122
91,0.66031746
92,0.6675737
93,0.67482993
94,0.68208617
95,0.6893424
96,0.69659864
97,0.70385488
98,0.71111111
99,0.71836735
100,0.72562358
101,0.73287982
102,0.74013605
103,0.74739229
104,0.75464853
105,0.76190476
106,0.769161
107,0.77641723
108,0.78367347
109,0.79092971
110,0.79818594
111,0.80544218
112,0.81269841
113,0.81995465
114,0.82721088
115,0.83446712
116,0.84172336
117,0.84897959
118,0.85623583
119,0.86349206
120,0.8707483
121,0.87800454
122,0.88526077
123,0.89251701
124,0.89977324
125,0.90702948
126,0.91428571
127,0.92154195
128,0.92879819
129,0.93605442
130,0.94331066
131,0.95056689
132,0.95782313
133,0.96507937
134,0.9723356
135,0.97959184
136,0.98684807
137,0.99410431
138,1.00136054
139,1.00861678
140,1.01587302
141,1.02312925
142,1.03038549
143,1.03764172
144,1.04489796
145,1.0521542
146,1.05941043
147,1.06666667
148,1.0739229
149,1.08117914
150,1.08843537
151,1.09569161
152,1.10294785
153,1.11020408
154,1.11746032
155,1.12471655
156,1.13197279
157,1.13922902
158,1.14648526
159,1.1537415
160,1.16099773
161,1.16825397
162,1.1755102
163,1.18276644
164,1.19002268
165,1.19727891
166,1.20453515
167,1.21179138
168,1.21904762
169,1.22630385
170,1.23356009
171,1.24081633
172,1.24807256
173,1.2553288
174,1.26258503
175,1.26984127
176,1.27709751
177,1.28435374
178,1.29160998
179,1.29886621
180,1.30612245
181,1.31337868
182,1.32063492
183,1.32789116
184,1.33514739
185,1.34240363
186,1.34965986
187,1.3569161
188,1.36417234
189,1.37142857
190,1.37868481
191,1.38594104
192,1.39319728
193,1.40045351
194,1.40770975
195,1.41496599
196,1.42222222
197,1.42947846
198,1.43673469
199,1.44399093
200,1.45124717
201,1.4585034
202,1.46575964
203,1.47301587
204,1.48027211
205,1.48752834
206,1.49478458
207,1.50204082
208,1.50929705
209,1.51655329
210,1.52380952
211,1.53106576
212,1.538322
213,1.54557823
214,1.55283447
215,1.5600907
216,1.56734694
217,1.57460317
218,1.58185941
219,1.58911565
220,1.59637188
221,1.60362812
222,1.61088435
223,1.61814059
224,1.62539683
225,1.63265306
226,1.6399093
227,1.64716553
228,1.65442177
229,1.661678
230,1.66893424
231,1.67619048
232,1.68344671
233,1.69070295
234,1.69795918
235,1.70521542
236,1.71247166
237,1.71972789
238,1.72698413
239,1.73424036
240,1.7414966
241,1.74875283
242,1.75600907
243,1.76326531
244,1.77052154
245,1.77777778
246,1.78503401
247,1.79229025
248,1.79954649
249,1.80680272
250,1.81405896
251,1.82131519
252,1.82857143
253,1.83582766
254,1.8430839
255,1.85034014
256,1.85759637
257,1.86485261
258,1.87210884
259,1.87936508
260,1.88662132
261,1.89387755
262,1.90113379
263,1.90839002
264,1.91564626
265,1.92290249
266,1.93015873
267,1.93741497
268,1.9446712
269,1.95192744
270,1.95918367
271,1.96643991
272,1.97369615
273,1.98095238
274,1.98820862
275,1.99546485
276,2.00272109
277,2.00997732
278,2.01723356
279,2.0244898
280,2.03174603
281,2.03900227
282,2.0462585
283,2.05351474
284,2.06077098
285,2.06802721
286,2.07528345
287,2.08253968
288,2.08979592
289,2.09705215
290,2.10430839
291,2.11156463
292,2.11882086
293,2.1260771
294,2.13333333
295,2.14058957
296,2.1478458
297,2.15510204
298,2.16235828
299,2.16961451
300,2.17687075
301,2.18412698
302,2.19138322
303,2.19863946
304,2.20589569
305,2.21315193
306,2.22040816
307,2.2276644
308,2.23492063
309,2.24217687
310,2.24943311
311,2.25668934
312,2.26394558
313,2.27120181
314,2.27845805
315,2.28571429
316,2.29297052
317,2.30022676
318,2.30748299
319,2.31473923
320,2.32199546
321,2.3292517
322,2.33650794
323,2.34376417
324,2.35102041
325,2.35827664
326,2.36553288
327,2.37278912
328,2.38004535
329,2.38730159
330,2.39455782
331,2.40181406
332,2.40907029
333,2.41632653
334,2.42358277
335,2.430839
336,2.43809524
337,2.44535147
338,2.45260771
339,2.45986395
340,2.46712018
341,2.47437642
342,2.48163265
343,2.48888889
344,2.49614512
345,2.50340136
346,2.5106576
347,2.51791383
348,2.52517007
349,2.5324263
350,2.53968254
351,2.54693878
352,2.55419501
353,2.56145125
354,2.56870748
355,2.57596372
356,2.58321995
357,2.59047619
358,2.59773243
359,2.60498866
360,2.6122449
361,2.61950113
362,2.62675737
363,2.63401361
364,2.64126984
365,2.64852608
366,2.65578231
367,2.66303855
368,2.67029478
369,2.67755102
370,2.68480726
371,2.69206349
372,2.69931973
373,2.70657596
374,2.7138322
375,2.72108844
376,2.72834467
377,2.73560091
378,2.74285714
379,2.75011338
380,2.75736961
381,2.76462585
382,2.77188209
383,2.77913832
384,2.78639456
385,2.79365079
386,2.80090703
387,2.80816327
388,2.8154195
389,2.82267574
390,2.82993197
391,2.83718821
392,2.84444444
393,2.85170068
394,2.85895692
395,2.86621315
396,2.87346939
397,2.88072562
398,2.88798186
399,2.8952381
400,2.90249433
401,2.90975057
402,2.9170068
403,2.92426304
404,2.93151927
405,2.93877551
406,2.94603175
407,2.95328798
408,2.96054422
409,2.96780045
410,2.97505669
411,2.98231293
412,2.98956916
413,2.9968254
414,3.00408163
415,3.01133787
416,3.0185941
417,3.02585034
418,3.03310658
419,3.04036281
420,3.04761905
421,3.05487528
422,3.06213152
423,3.06938776
424,3.07664399
425,3.08390023
426,3.09115646
427,3.0984127
428,3.10566893
429,3.11292517
430,3.12018141
431,3.12743764
432,3.13469388
433,3.14195011
434,3.14920635
435,3.15646259
436,3.16371882
437,3.17097506
438,3.17823129
439,3.18548753
440,3.19274376
441,3.2
442,3.20725624
443,3.21451247
444,3.22176871
445,3.22902494
446,3.23628118
447,3.24353741
448,3.25079365
449,3.25804989
450,3.26530612
451,3.27256236
452,3.27981859
453,3.28707483
454,3.29433107
455,3.3015873
456,3.30884354
457,3.31609977
458,3.32335601
459,3.33061224
460,3.33786848
461,3.34512472
462,3.35238095
463,3.35963719
464,3.36689342
465,3.37414966
466,3.3814059
467,3.38866213
468,3.39591837
469,3.4031746
470,3.41043084
471,3.41768707
472,3.42494331
473,3.43219955
474,3.43945578
475,3.44671202
476,3.45396825
477,3.46122449
478,3.46848073
479,3.47573696
480,3.4829932
481,3.49024943
482,3.49750567
483,3.5047619
484,3.51201814
485,3.51927438
486,3.52653061
487,3.53378685
488,3.54104308
489,3.54829932
490,3.55555556
491,3.56281179
492,3.57006803
493,3.57732426
494,3.5845805
495,3.59183673
496,3.59909297
497,3.60634921
498,3.61360544
499,3.62086168
500,3.62811791
501,3.63537415
502,3.64263039
503,3.64988662
504,3.65714286
505,3.66439909
506,3.67165533
507,3.67891156
508,3.6861678
509,3.69342404
510,3.70068027
511,3.70793651
512,3.71519274
513,3.72244898
514,3.72970522
515,3.73696145
516,3.74421769
517,3.75147392
518,3.75873016
519,3.76598639
520,3.77324263
521,3.78049887
522,3.7877551
523,3.79501134
524,3.80226757
525,3.80952381
526,3.81678005
527,3.82403628
528,3.83129252
529,3.83854875
530,3.84580499
531,3.85306122
532,3.86031746
533,3.8675737
534,3.87482993
535,3.88208617
536,3.8893424
537,3.89659864
538,3.90385488
539,3.91111111
540,3.91836735
541,3.92562358
542,3.93287982
543,3.94013605
544,3.94739229
545,3.95464853
546,3.96190476
547,3.969161
548,3.97641723
549,3.98367347
550,3.99092971
551,3.99818594
